model,doc_id,source_file,status,reason,gt_file_exists,matched_count,gt_only_count,pred_only_count,gt_defendant_count,pred_defendant_count,llm_calls,input_tokens,output_tokens,total_tokens,fallback_errors,fallback_used
one_call,23-05-2025-Ho_Chi_Minh-2ta1973138t1cvn,23-05-2025-Ho_Chi_Minh-2ta1973138t1cvn.json,processed,ok,True,1,0,0,1,1,1,1542,454,1996,0,False
one_call,23-06-2025-Lao_Cai-2ta1866137t1cvn,23-06-2025-Lao_Cai-2ta1866137t1cvn.json,processed,ok,True,1,0,0,1,1,1,1593,702,2295,0,False
one_call,23-07-2025-Dien_Bien-2ta1880919t1cvn,23-07-2025-Dien_Bien-2ta1880919t1cvn.json,processed,ok,True,3,0,0,3,3,1,3073,1187,4260,0,False
one_call,23-08-2024-Thai_Binh-2ta1612148t1cvn,23-08-2024-Thai_Binh-2ta1612148t1cvn.json,processed,ok,True,7,0,0,7,7,1,5003,2842,7845,0,False
one_call,23-12-2024-An_Giang-2ta1917916t1cvn,23-12-2024-An_Giang-2ta1917916t1cvn.json,processed,ok,True,1,0,0,1,1,1,1508,333,1841,0,False
one_call,24-01-2025-Khanh_Hoa-2ta1714281t1cvn,24-01-2025-Khanh_Hoa-2ta1714281t1cvn.json,processed,ok,True,1,0,0,1,1,1,1819,609,2428,0,False
one_call,24-01-2025-Thanh_Hoa-2ta1775751t1cvn,24-01-2025-Thanh_Hoa-2ta1775751t1cvn.json,processed,ok,True,1,0,0,1,1,1,1729,784,2513,0,False
one_call,24-03-2025-Can_Tho-2ta1851514t1cvn,24-03-2025-Can_Tho-2ta1851514t1cvn.json,processed,ok,True,1,0,0,1,1,1,1679,569,2248,0,False
one_call,24-03-2025-Dien_Bien-2ta1800318t1cvn,24-03-2025-Dien_Bien-2ta1800318t1cvn.json,processed,ok,True,1,0,0,1,1,1,1751,452,2203,0,False
one_call,24-05-2024-Da_Nang-2ta1504174t1cvn,24-05-2024-Da_Nang-2ta1504174t1cvn.json,processed,ok,True,1,0,0,1,1,1,1707,689,2396,0,False
one_call,24-06-2025-Bac_Ninh-2ta1956848t1cvn,24-06-2025-Bac_Ninh-2ta1956848t1cvn.json,processed,ok,True,1,0,0,1,1,1,1753,718,2471,0,False
one_call,24-06-2025-Son_La-2ta1858883t1cvn,24-06-2025-Son_La-2ta1858883t1cvn.json,processed,ok,True,2,0,0,2,2,1,2106,1150,3256,0,False
one_call,24-06-2025-Son_La-2ta1864510t1cvn,24-06-2025-Son_La-2ta1864510t1cvn.json,processed,ok,True,1,0,0,1,1,1,1585,624,2209,0,False
one_call,24-07-2024-Ninh_Binh-2ta1558645t1cvn,24-07-2024-Ninh_Binh-2ta1558645t1cvn.json,processed,ok,True,1,0,0,1,1,1,1460,638,2098,0,False
one_call,24-07-2025-An_Giang-2ta1941635t1cvn,24-07-2025-An_Giang-2ta1941635t1cvn.json,processed,ok,True,1,0,0,1,1,1,1424,616,2040,0,False
